Título,Assuntos,Pesquisador Responsável,Empresa,Grande Área do Conhecimento,Área do Conhecimento,Subárea do Conhecimento
Otimização de plataforma de cultivo de organóides de câncer colorretal derivados de pacientes para seleção personalizada de fármacos,Oncologia:Neoplasias:Células tumorais:Cultura de células:Modelos tridimensionais de cultura de células:Organoides:Técnicas in vitro,Robson Luis Ferraz do Amaral,Living Out Laboratório de Testes Celulares In Vitro Ltda,Ciências da Saúde,Farmácia,Análise Toxicológica
Enfermagem 4.0 - inteligência artificial aplicada na elaboração automática de escalas de trabalho em organizações de saúde,Gestão em saúde:Inteligência artificial:Jornada de trabalho:Organização do trabalho:Profissionais de enfermagem,Thiago Franco,Thiago Franco,Ciências da Saúde,Enfermagem,Enfermagem de Saúde Pública
Avaliação da segurança e eficácia de biocurativos 3D contendo células mesenquimais em pacientes portadores de feridas complexas,Medicina regenerativa:Terapia baseada em transplante de células e tecidos:Células-tronco mesenquimais:Cicatrização:Curativos biológicos:Ferimentos e lesões:Úlcera cutânea,Carolina Caliári Oliveira,In Situ Terapia Celular Ltda,Ciências da Saúde,Medicina,Não Informado
"Validação em novas indicações clínicas, otimizações e ampliação de acesso e inserção no mercado do exame mir-THYpe®, classificador molecular de nódulos tireoidianos indeterminados baseado em microRNA profiling",Citopatologia:Carcinoma:Técnicas de diagnóstico molecular:Glândula tireoide:Nódulo da glândula tireoide:Biópsia por agulha fina:MicroRNAs:Prognóstico,Marcos Tadeu dos Santos,Onkos Diagnósticos Moleculares Ltda (Filial),Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica
Identificação e screening biológico na busca por agentes antimicrobianos produzidos por actinobactérias contra o cancro cítrico,Fitopatologia:Actinobacteria:Doenças de plantas:Cancro (doença de planta):Compostos bioativos:Xanthomonas citri:Fatores biológicos,Tânia Petta,Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda,Ciências Exatas e da Terra,Química,Química Orgânica
Desenvolvimento de uma plataforma dermocosmética composta por máscaras faciais eletro-estimuladas,Cosmetologia:Dermocosméticos:Ácido hialurônico:Fibroínas de seda:Terapia por estimulação elétrica:Doenças da pele e do tecido conjuntivo:Máscaras faciais:indústria cosmética,Camila Nunes Lemos,Inanocare Ltda. - ME,Ciências da Saúde,Farmácia,Farmacotecnia
Desenvolvimento de microagulhas poliméricas para tratamento tópico do melasma,Doenças da pele e do tecido conjuntivo:Pigmentação da pele:Transtornos da pigmentação:Hiperpigmentação:Melanose,Carla Souza,Souza P&D Farmacêutico Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
Medicina veterinária de precisão: desenvolvimento de plataforma de análise de microbiota voltada para a saúde dos animais de estimação,Medicina veterinária:Saúde animal:Biologia computacional:Genômica:Microbiota:Nutrigenômica:Animais domésticos:Plataforma (computação),Renan Medico da Silva,Progenix Pesquisa e Artigos para Laboratório Ltda,Ciências Biológicas,Genética,Genética Molecular e de Microorganismos
Sistema de limpeza e separação pneumática de cana de açúcar e outros produtos agrícolas,Desenvolvimento de produtos:Máquinas pneumáticas:Sistemas de transporte pneumático:Produtos agrícolas:Cana-de-açúcar,José Francisco Torres,BTZ Tecnologia Ltda,Ciências Agrárias,Engenharia Agrícola,Engenharia de Processamento de Produtos Agrícolas
"Desenvolvimento de tecnologias rápidas e eficientes para diagnóstico de biomarcadores críticos relacionados a processos bioquímicos, nutrição e meio ambiente visando um estilo de vida saudável",Metabolômica:Biomarcadores:Diagnóstico precoce:Prevenção de doenças:Estilo de vida saudável:Nutrição:Meio ambiente,Anthony Alexandre Weil,Reload Health Devices Ltda,Ciências da Saúde,Saúde Coletiva,Medicina Preventiva
Desenvolvimento de uma estratégia vacinal carreando proteína viral contra o SARS-CoV-2,Desenvolvimento de vacinas:Vacinas:Administração oral:COVID-19:SARS-CoV-2:Salmonella enterica:Salmonella typhimurium:Pandemias,Marcel Montels Trevisani,Invent Biotecnologia Ltda. - ME,Ciências Biológicas,Imunologia,Imunologia Aplicada
YACON-BR: ingredientes para sabor e vida saudável,Inulina:Prebióticos:Ácido micofenólico:Frutooligossacarídeos:Alimentos funcionais:Batata:Yacon:Estilo de vida saudável,Rita Maria Borges de Moraes,Santa Martha Jardins Ltda. - ME,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química
Estabelecimento de uma plataforma de classificação molecular para o meduloblastoma por qPCR em tempo real,Oncologia:Neoplasias:Meduloblastoma:Classificação molecular do câncer:Reação em cadeia da polimerase via transcriptase reversa quantitativa (qRT-PCR),Ricardo Bonfim Silva,Neogenys Diagnóstico Molecular Ltda,Ciências da Saúde,Medicina,Saúde Materno-infantil
Desenvolvimento de uma plataforma para treinamento em cirurgias de pacientes específicos usando realidade aumentada e manufatura aditiva,Cirurgia assistida por computador:Plataforma (computação):Design instrucional:Impressão tridimensional:Realidade aumentada:Treinamento profissional:Médicos,Carlo Rondinoni,TagmaVisions Treinamentos Digitais Ltda,Ciências da Saúde,Medicina,Cirurgia
Análise de viabilidade técnica e econômica da implantação de uma caldeira de bagaço que integre um ciclo rankine regenerativo com reaquecimento em uma usina sucroalcooleira,Indústria sucro-alcooleira:Usina açucareira:Reaquecimento:Caldeiras:Bagaços:Biomassa:Cana-de-açúcar,Juan Harold Sosa Arnao,Juan Harold Sosa Arnao,Engenharias,Engenharia Mecânica,Engenharia Térmica
Inteligência artificial para otimização de processos pré-colheita e mensuração da produtividade em lavouras de café,Agricultura:Agronegócio:Cafeicultura:Plataforma (computação):Inteligência artificial:Produtividade:Lavoura:Pré-colheita,Diego Moure Oliveira,Agrobee Soluções em Polinização e Sustentabilidade Ltda,Ciências Agrárias,Engenharia Agrícola,Máquinas e Implementos Agrícolas
Desenvolvimento de uma plataforma de síntese e certificação analítica de nitrosaminas de interesse farmacêutico,Nitrosaminas:Fluxo contínuo:Química verde:Impurezas:Química farmacêutica:Produção:Fármacos,João Luis Callegari Lopes,Avita Produtos Químicos Farmacêuticos Ltda,Ciências da Saúde,Farmácia,Não Informado
Validação técnica de constructo reconstrutor gengival bioimpresso à base de células mesenquimais ou vesículas extracelulares em scaffold de ácido hialurônico,Regeneração tecidual:Terapia baseada em transplante de células e tecidos:Ácido hialurônico:Bioimpressão tridimensional:Retração gengival:Vesículas extracelulares:Tecidos suporte,Juliana Magro Ribeiro,In Situ Terapia Celular Ltda,Ciências da Saúde,Odontologia,Periodontia
Plataforma de automação para a agricultura 4.0,Engenharia agrícola:Agricultura de precisão:Sistemas embarcados:Eletrônica embarcada:Interação homem-máquina:Internet das coisas:Automação:Plataforma (computação),Rodrigo Aznar Mendes,Rodrigo Aznar Mendes,Engenharias,Engenharia Elétrica,Não Informado
Biocraft-sardrones: o dispenser voador,Agricultura:Controle de pragas:Controle biológico:Agentes de controle biológico:Cotesia flavipes:Cana-de-açúcar:Veículos aéreos não tripulados,Luis Gustavo Silva Scarpari,Sardrones Aplicações e Serviços Agrícolas - Eireli,Engenharias,Engenharia Aeroespacial,Aerodinâmica
Validação de microRNAs como biomarcadores para o diagnóstico de carcinoma medular de tireóide,Citopatologia:Carcinoma:Glândula tireoide:Carcinoma medular de tiroide:Técnicas de diagnóstico molecular:MicroRNAs:Mutação,Bruna Moretto Rodrigues,Onkos Diagnósticos Moleculares Ltda. - ME,Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica
Desenvolvimento de produtos fitoterápicos a base de curcuminóides como anti-inflamatórios para aplicações na área veterinária,Medicina veterinária:Medicamentos fitoterápicos:Anti-inflamatórios:Usos terapêuticos:Diarileptanoides:Curcuma,Ana Carolina Rodrigues Montes,Sthenos Inovações em Saúde Ltda,Engenharias,Engenharia Química,Tecnologia Química
"Controle biológico do cascudinho da granja, Alphitobius diaperinus (Coleoptera: Tenebrionidae) com base em um bioinseticida fúngico",Avicultura:Controle biológico:Controle de pragas:Fungos entomopatogênicos:Inseticidas biológicos:Coleoptera:Tenebrionidae,Tatiana Magalhães,Decoy Tecnologia em Controle de Pragas S/A,Ciências Biológicas,Ecologia,Ecologia Aplicada
Portal de Imagem Radioterápico (P.I.R),Neoplasias:Radioterapia:Controle da qualidade:Planejamento hospitalar:Hospitais públicos:Portal (internet):Intensificação de imagem radiográfica,Diego Fiori de Carvalho,Innolution Sistemas de Informática Ltda,Ciências da Saúde,Medicina,Não Informado
Microrganismos aplicados em processos alternativos para tratamento de efluentes oleosos,Biorremediação:Automação:Emulsificantes:Poluentes:Tratamento de águas residuárias,Thaís Carvalho Maester Casanova,Eco Biotech Tecnologia em Manutenção Ltda. - ME,Ciências Biológicas,Microbiologia,Microbiologia Aplicada
Desenvolvimento de uma plataforma de cultivo tridimensional baseada em células tumorais derivados de pacientes para o estabelecimento de um modelo de seleção personalizada de fármacos,Oncologia:Fármacos:Quimioterápicos:Cultura de células:Células tumorais:Organoides:Alternativas ao uso de animais,Robson Luis Ferraz do Amaral,Living Out Laboratório de Testes Celulares In Vitro Ltda,Ciências da Saúde,Farmácia,Análise Toxicológica
Controle biológico do parasita Varroa destructor em colônias de Apis mellifera,Apicultura:Abelhas:Apis mellifera:Controle biológico:Controle de pragas:Ácaros:Varroa destructor:Fungos acaropatogênicos,Larissa Galante Elias,Decoy Tecnologia em Controle de Pragas S/A,Ciências Biológicas,Ecologia,Ecologia Aplicada
Avaliação genética pré-implantacional não invasiva para embriões humanos,Sequenciamento de nova geração:Técnicas de reprodução assistida:Vírus da imunodeficiência felina:Diagnóstico pré-implantação:Aneuploidia:Embrião,Jose Gonçalves Franco Junior,"Centro Paulista de Diagnóstico, Pesquisa e Treinamento Ltda (CPDP)",Ciências da Saúde,Medicina,Não Informado
Produção de colunas de bioafinidade (Afin®) para triagem de ligantes de colinesterases,Imobilização:Colinesterases:Ligantes:Cromatografia,Adriana Ferreira Lopes Vilela,Adriana Ferreira Lopes Vilela,Ciências Exatas e da Terra,Química,Química Analítica
Plataforma brasileira para estudos toxicogenéticos e screening de novas moléculas em ensaios pré-clínicos,Testes para micronúcleos:Genotoxicidade:Toxicogenética:Melanoma:Testes de toxicidade:Desenvolvimento de fármacos,Carla Carolina Munari,Eleve Science Pesquisa e Desenvolvimento Ltda,Ciências Biológicas,Farmacologia,Toxicologia
S-RED: sistema de registro eletrônico de dose para exames médicos que utilizam radiação ionizante,Física médica:Exames médicos:Tomografia computadorizada:Radiação ionizante:Neoplasias mamárias:Big data,Hilton Vicente César,Radiologia IS Desenvolvimento de Programas Ltda,Ciências da Saúde,Medicina,Radiologia Médica
Identificação e screening biológico na busca por agentes antimicrobianos produzidos por actinobactérias contra o cancro cítrico,Actinobacteria:Compostos bioativos:Cancro (doença de planta),Tânia Petta,Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda,Ciências Exatas e da Terra,Química,Química Orgânica
Desenvolvimento de um detector opticamente estimulável para dosimetrias pessoal e médica,Radiação ionizante:Radioproteção:Dosímetros,Luiz Carlos de Oliveira,MRA Indústria de Equipamentos Eletrônicos Ltda,Ciências Exatas e da Terra,Física,Física da Matéria Condensada
SIPRAD: Sistema de Planejamento Radioterápico,Neoplasias:Radioterapia,José Antonio Camacho Guerrero,Innolution Sistemas de Informática Ltda,Ciências da Saúde,Medicina,Radiologia Médica
Plataforma de Big Data público de mapeamento de indícios de irregularidade nos relacionamentos de empresas com contrapartes,Administração pública:Transparência pública:Tecnologia da informação:Big data:Compliance:Auditoria:Fiscalização,Lucas Madureira dos Anjos,Gedanken Desenvolvimento e Licenciamento de Programas de Computador Ltda,Ciências Sociais Aplicadas,Administração,Administração de Empresas
Análise de viabilidade técnica e comercial da aplicação de realidade aumentada e manufatura aditiva para treinamento em cirurgias de pacientes específicos,Realidade aumentada:Impressão tridimensional:Modelagem tridimensional:Cirurgia assistida por computador:Treinamento profissional:Pessoal de saúde,Carlo Rondinoni,TagmaVisions Treinamentos Digitais Ltda,Ciências da Saúde,Medicina,Cirurgia
O uso de exossomos derivados de células mesenquimais na medicina regenerativa: aproveitamento de subprodutos da terapia celular para formulação de composto de uso tópico para o tratamento de feridas,Dermatologia:Exossomos:Terapia baseada em transplante de células e tecidos,Adriana Oliveira Manfiolli,In Situ Terapia Celular Ltda,Ciências da Saúde,Medicina,Não Informado
Mecanismos de detecção de senhas inseguras através de redes generativas adversárias baseadas em mineração de dados de vazamentos na deep web,Segurança da informação:Vazamento de informação:Mineração de dados:Internet:Internet das coisas,Rafael Mira de Oliveira Libardi,Noleak Tecnologia da Informação Ltda,Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação
Desenvolvimento de sistema de liberação nanoestruturado como medicação intracanal de dentes decíduos e permanentes,Odontopediatria:Hidróxido de cálcio:Canal radicular,Daniela Spuri Bernardi,Lipid Ingredients & Technologies Ltda. - ME,Ciências da Saúde,Odontologia,Endodontia
Desenvolvimento e avaliação de glicoconjugados com aplicações em oncologia humana e veterinária,Oncologia:Biotecnologia:Química médica:Atenção à saúde:Saúde pública veterinária:Antineoplásicos:Glicoconjugados:Mucinas:Imunoterapia,Vanessa Leiria Campo,V L Campo,Ciências da Saúde,Farmácia,Não Informado
"Aprimoramento do sistema CleverCare por meio do desenvolvimento de novas funcionalidades, adaptações para internacionalização e desenvolvimento de novos métodos de acesso ao sistema",Informática médica:Aprendizado computacional:Redes complexas,Hugo Cesar Pessotti,Kidopi Soluções em Informática Médica Ltda (Kidopi),Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação
Controle biológico do parasita Varroa destructor em colônias de Apis mellifera,Apicultura:Controle biológico:Controle de pragas,Larissa Galante Elias,Decoy Tecnologia em Controle de Pragas S/A,Ciências Biológicas,Ecologia,Ecologia Aplicada
Desenvolvimento de uma bebida funcional a base de café através de recursos nanotecnológicos,Nanotecnologia:Antioxidantes:Bebidas:Biodisponibilidade:Café,Fernanda Rebel Moreira Alves,Fernanda Rebel Moreira Alves,Ciências Agrárias,Ciência e Tecnologia de Alimentos,Tecnologia de Alimentos
Estabelecimento de um modelo de pele tridimensional para o desenvolvimento e avaliação da eficácia de formulações cosméticas fotoprotetoras e antienvelhecimento,Cultura de células:Raios ultravioleta:Fotoquimioterapia:Cosméticos:Envelhecimento da pele:Protetores solares:Fotoproteção,Ana Luiza Scarano Aguillera Forte,Eleve Science Pesquisa e Desenvolvimento Ltda,Ciências da Saúde,Farmácia,Análise e Controle de Medicamentos
"Fonte de luz laser com controle cromático digital para aplicações médicas, diagnósticas e cirúrgicas",Energia:Equipamentos médicos duráveis:Fibra óptica:Laser (aparelho cirúrgico):Iluminação,Alexandre Martinewski,Sigmed Equipamentos Eletrônicos Ltda. - EPP,Engenharias,Engenharia Biomédica,Engenharia Médica
